kecamatan,kelurahan,lintang_selatan,bujur_timur,parameter,hasil_analisa
Cakung, Cakung Barat SMPN 168 ,"06o11’28,6” ","  106o56’32,9”",Zat Padat Terlarut,370
Cakung, Cakung Barat SMPN 169 ,"06o11’28,6” ","  106o56’32,9”",Kekeruhan,0.46
Cakung, Cakung Barat SMPN 170 ,"06o11’28,6” ","  106o56’32,9”",Air Raksa, <0.0003 
Cakung, Cakung Barat SMPN 171 ,"06o11’28,6” ","  106o56’32,9”",Zat Padat Terlarut,
Cakung, Cakung Barat SMPN 172 ,"06o11’28,6” ","  106o56’32,9”",Kekeruhan,
Cakung, Cakung Barat SMPN 173 ,"06o11’28,6” ","  106o56’32,9”",Air Raksa,
Cakung, Cakung Barat SMPN 174 ,"06o11’28,6” ","  106o56’32,9”",Besi (Fe), <0.08 
Cakung, Cakung Barat SMPN 175 ,"06o11’28,6” ","  106o56’32,9”",Fluorida,0.48
Cakung, Cakung Barat SMPN 176 ,"06o11’28,6” ","  106o56’32,9”",Cadmium,
Cakung, Cakung Barat SMPN 177 ,"06o11’28,6” ","  106o56’32,9”",Cadmium, * 
Cakung, Cakung Barat SMPN 178 ,"06o11’28,6” ","  106o56’32,9”",Kesadahan (CaCO3),23.68
Cakung, Cakung Barat SMPN 179 ,"06o11’28,6” ","  106o56’32,9”",Krom Heksavalen,
Cakung, Cakung Barat SMPN 180 ,"06o11’28,6” ","  106o56’32,9”",Krom Heksavalen, * 
Cakung, Cakung Barat SMPN 181 ,"06o11’28,6” ","  106o56’32,9”",Mangan (Mn), <0.05 
Cakung, Cakung Barat SMPN 182 ,"06o11’28,6” ","  106o56’32,9”",Nitrat,
Cakung, Cakung Barat SMPN 183 ,"06o11’28,6” ","  106o56’32,9”",Nitrit,
Cakung, Cakung Barat SMPN 184 ,"06o11’28,6” ","  106o56’32,9”",Nitrat, * 
Cakung, Cakung Barat SMPN 185 ,"06o11’28,6” ","  106o56’32,9”",Nitrit,0.006
Cakung, Cakung Barat SMPN 186 ,"06o11’28,6” ","  106o56’32,9”",pH,8.2
Cakung, Cakung Barat SMPN 187 ,"06o11’28,6” ","  106o56’32,9”",Seng (Zn), <0.01 
Cakung, Cakung Barat SMPN 188 ,"06o10’26,2” ","  106o55’59,6”",Sulfat,
Cakung, Cakung Barat SMPN 189 ,"06o10’26,2” ","  106o55’59,6”",Timah Hitam (Pb),
Cakung, Cakung Barat SMPN 190 ,"06o10’26,2” ","  106o55’59,6”",Sulfat,70.5
Cakung, Cakung Barat SMPN 191 ,"06o10’26,2” ","  106o55’59,6”",Timah Hitam (Pb), * 
Cakung, Cakung Barat SMPN 192 ,"06o10’26,2” ","  106o55’59,6”",Deterjen,0.18
Cakung, Cakung Barat SMPN 193 ,"06o10’26,2” ","  106o55’59,6”",Organik (KMnO4),7.33
Cakung, Cakung Barat SMPN 194 ,"06o10’26,2” ","  106o55’59,6”",Suhu,
Cakung, Cakung Barat SMPN 195 ,"06o10’26,2” ","  106o55’59,6”",Total Coliform,
Cakung, Cakung Barat SMPN 196 ,"06o10’26,2” ","  106o55’59,6”",Suhu,25
Cakung, Cakung Barat SMPN 197 ,"06o10’26,2” ","  106o55’59,6”",Total Coliform,900
Cakung, Cakung Barat SMPN 198 ,"06o10’26,2” ","  106o55’59,6”",E.Coli, -   
Cakung, Cakung Barat SMPN 199 ,"06o10’26,2” ","  106o55’59,6”",Indeks Pencemaran,5
Cakung, Cakung Barat SMPN 200 ,"06o10’26,2” ","  106o55’59,6”",Kategori,Tercemar Sedang 
Cakung, Cakung Timur SMPN 234 ,"06o10’26,2” ","  106o55’59,6”",Zat Padat Terlarut, 2.190.0 
Cakung, Cakung Timur SMPN 235 ,"06o10’26,2” ","  106o55’59,6”",Kekeruhan,0.39
Cakung, Cakung Timur SMPN 236 ,"06o10’26,2” ","  106o55’59,6”",Air Raksa, <0.0003 
Cakung, Cakung Timur SMPN 237 ,"06o10’26,2” ","  106o55’59,6”",Zat Padat Terlarut,
Cakung, Cakung Timur SMPN 238 ,"06o10’26,2” ","  106o55’59,6”",Kekeruhan,
Cakung, Cakung Timur SMPN 239 ,"06o10’26,2” ","  106o55’59,6”",Air Raksa,
Cakung, Cakung Timur SMPN 240 ,"06o10’26,2” ","  106o55’59,6”",Besi (Fe),0.14
Cakung, Cakung Timur SMPN 241 ,"06o11’00,9” ","  106o57’27,9”",Fluorida,0.51
Cakung, Cakung Timur SMPN 242 ,"06o11’00,9” ","  106o57’27,9”",Cadmium,
Cakung, Cakung Timur SMPN 243 ,"06o11’00,9” ","  106o57’27,9”",Cadmium, * 
Cakung, Cakung Timur SMPN 244 ,"06o11’00,9” ","  106o57’27,9”",Kesadahan (CaCO3),107.46
Cakung, Cakung Timur SMPN 245 ,"06o11’00,9” ","  106o57’27,9”",Krom Heksavalen,
Cakung, Cakung Timur SMPN 246 ,"06o11’00,9” ","  106o57’27,9”",Krom Heksavalen, * 
Cakung, Cakung Timur SMPN 247 ,"06o11’00,9” ","  106o57’27,9”",Mangan (Mn),0.1
Cakung, Cakung Timur SMPN 248 ,"06o11’00,9” ","  106o57’27,9”",Nitrat,
Cakung, Cakung Timur SMPN 249 ,"06o11’00,9” ","  106o57’27,9”",Nitrit,
Cakung, Cakung Timur SMPN 250 ,"06o11’00,9” ","  106o57’27,9”",Nitrat,0.88
Cakung, Cakung Timur SMPN 251 ,"06o11’00,9” ","  106o57’27,9”",Nitrit,0.028
